Id,season,round,raceName,date,circuitId_x,circuitName,number,position,positionText,points,driverRef,givenName,familyName,dateOfBirth,nationality,constructorRef,name_x,nationality.1,results.grid,results.laps,results.status,location,country,lat,lng,wins
1244,2013,1,Australian Grand Prix,17-03-2013,albert_park,Albert Park Grand Prix Circuit,5.0,9.0,9,2.0,button,Jenson,Button,19-01-1980,British,mclaren,McLaren,British,10,58,Finished,Melbourne,Australia,-37.8497,144.968,0
1245,2013,1,Australian Grand Prix,17-03-2013,albert_park,Albert Park Grand Prix Circuit,6.0,11.0,11,0.0,perez,Sergio,PÃ©rez,26-01-1990,Mexican,mclaren,McLaren,British,15,58,Finished,Melbourne,Australia,-37.8497,144.968,0
2204,2013,1,Australian Grand Prix,17-03-2013,albert_park,Albert Park Grand Prix Circuit,3.0,2.0,2,18.0,alonso,Fernando,Alonso,29-07-1981,Spanish,ferrari,Ferrari,Italian,5,58,Finished,Melbourne,Australia,-37.8497,144.968,0
2205,2013,1,Australian Grand Prix,17-03-2013,albert_park,Albert Park Grand Prix Circuit,4.0,4.0,4,12.0,massa,Felipe,Massa,25-04-1981,Brazilian,ferrari,Ferrari,Italian,4,58,Finished,Melbourne,Australia,-37.8497,144.968,0
3292,2013,1,Australian Grand Prix,17-03-2013,albert_park,Albert Park Grand Prix Circuit,10.0,5.0,5,10.0,hamilton,Lewis,Hamilton,07-01-1985,British,mercedes,Mercedes,German,3,58,Finished,Melbourne,Australia,-37.8497,144.968,0
3601,2013,1,Australian Grand Prix,17-03-2013,albert_park,Albert Park Grand Prix Circuit,18.0,12.0,12,0.0,vergne,Jean-Ã‰ric,Vergne,25-04-1990,French,toro_rosso,Toro Rosso,Italian,13,58,Finished,Melbourne,Australia,-37.8497,144.968,0
3692,2013,1,Australian Grand Prix,17-03-2013,albert_park,Albert Park Grand Prix Circuit,15.0,7.0,7,6.0,sutil,Adrian,Sutil,11-01-1983,German,force_india,Force India,Indian,12,58,Finished,Melbourne,Australia,-37.8497,144.968,0
3693,2013,1,Australian Grand Prix,17-03-2013,albert_park,Albert Park Grand Prix Circuit,14.0,8.0,8,4.0,resta,Paul,di Resta,16-04-1986,British,force_india,Force India,Indian,9,58,Finished,Melbourne,Australia,-37.8497,144.968,0
4149,2013,1,Australian Grand Prix,17-03-2013,albert_park,Albert Park Grand Prix Circuit,2.0,6.0,6,8.0,webber,Mark,Webber,27-08-1976,Australian,red_bull,Red Bull,Austrian,2,58,Finished,Melbourne,Australia,-37.8497,144.968,0
4150,2013,1,Australian Grand Prix,17-03-2013,albert_park,Albert Park Grand Prix Circuit,1.0,3.0,3,15.0,vettel,Sebastian,Vettel,03-07-1987,German,red_bull,Red Bull,Austrian,1,58,Finished,Melbourne,Australia,-37.8497,144.968,0
