ID,Race number,Race number next,season,round,raceName,date,circuitId_x,circuitName,number,position,positionText,points,driverId,givenName,familyName,dateOfBirth,nationality,constructorId,name_x,nationality.1,results.grid,results.laps,results.status,Circ Count,location,country,lat,lng
8063,439,20,21,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,15.0,1,1,9.0,ascari,Alberto,Ascari,13-07-2018,Italian,ferrari,Ferrari,Italian,2,85,Finished,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
8161,440,20,48,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,17.0,2,2,6.0,taruffi,Piero,Taruffi,12-10-2006,Italian,ferrari,Ferrari,Italian,3,84,+1 Lap,,Silverstone,UK,52.0786,-1.01694
8180,441,20,30,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,9.0,3,3,4.0,hawthorn,Mike,Hawthorn,10-04-2029,British,cooper,Cooper,British,7,83,+2 Laps,,Silverstone,UK,52.0786,-1.01694
8257,442,20,20,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,6.0,4,4,3.0,poore,Dennis,Poore,19-08-2016,British,connaught,Connaught,British,8,83,+2 Laps,,Silverstone,UK,52.0786,-1.01694
8317,443,20,20,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,5.0,5,5,2.0,thompson,Eric,Thompson,04-11-2019,British,connaught,Connaught,British,9,82,+3 Laps,,Silverstone,UK,52.0786,-1.01694
8333,444,20,20,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,16.0,6,6,0.0,farina,Nino,Farina,30-10-2006,Italian,ferrari,Ferrari,Italian,1,82,+3 Laps,,Silverstone,UK,52.0786,-1.01694
8412,445,20,20,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,8.0,7,7,0.0,reg_parnell,Reg,Parnell,02-07-2011,British,cooper,Cooper,British,6,82,+3 Laps,,Silverstone,UK,52.0786,-1.01694
8463,446,20,69,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,14.0,8,8,0.0,salvadori,Roy,Salvadori,12-05-2022,British,ferrari,Ferrari,Italian,19,82,+3 Laps,,Silverstone,UK,52.0786,-1.01694
8487,447,20,20,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,4.0,9,9,0.0,downing,Ken,Downing,05-12-2017,British,connaught,Connaught,British,5,82,+3 Laps,,Silverstone,UK,52.0786,-1.01694
8582,448,20,20,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,21.0,10,10,0.0,whitehead,Peter,Whitehead,12-11-2014,British,ferrari,Ferrari,Italian,20,81,+4 Laps,,Silverstone,UK,52.0786,-1.01694
8591,449,20,32,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,26.0,11,11,0.0,bira,Prince,Bira,15-07-2014,Thai,gordini,Gordini,French,10,81,+4 Laps,,Silverstone,UK,52.0786,-1.01694
8687,450,20,20,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,1.0,12,12,0.0,graham_whitehead,Graham,Whitehead,15-04-2022,British,alta,Alta,British,12,80,+5 Laps,,Silverstone,UK,52.0786,-1.01694
8705,451,20,20,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,19.0,13,13,0.0,fischer,Rudi,Fischer,19-04-2012,Swiss,ferrari,Ferrari,Italian,15,80,+5 Laps,,Silverstone,UK,52.0786,-1.01694
8754,452,20,45,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,27.0,14,14,0.0,claes,Johnny,Claes,11-08-2016,Belgian,simca,Simca,French,23,79,+6 Laps,,Silverstone,UK,52.0786,-1.01694
8823,453,20,20,1952,5,British Grand Prix,19-07-1952,silverstone,Silverstone Circuit,31.0,15,15,0.0,macklin,Lance,Macklin,02-09-2019,British,hwm,HWM,British,29,79,+6 Laps,,Silverstone,UK,52.0786,-1.01694
