ID,Race number,Race number next,season,round,raceName,date,circuitId_x,circuitName,number,position,positionText,points,driverId,givenName,familyName,dateOfBirth,nationality,constructorId,name_x,nationality.1,results.grid,results.laps,results.status,Circ Count,location,country,lat,lng
570,23762,977,980,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,5.0,1,1,25.0,vettel,Sebastian,Vettel,03-07-1987,German,ferrari,Ferrari,Italian,1,68,Finished,,Montreal,Canada,45.5,-73.5228
578,23763,977,981,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,77.0,2,2,18.0,bottas,Valtteri,Bottas,28-08-1989,Finnish,mercedes,Mercedes,German,2,68,Finished,,Montreal,Canada,45.5,-73.5228
644,23764,977,983,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,33.0,3,3,15.0,max_verstappen,Max,Verstappen,30-09-1997,Dutch,red_bull,Red Bull,Austrian,3,68,Finished,,Montreal,Canada,45.5,-73.5228
674,23765,977,978,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,3.0,4,4,12.0,ricciardo,Daniel,Ricciardo,01-07-1989,Australian,red_bull,Red Bull,Austrian,6,68,Finished,,Montreal,Canada,45.5,-73.5228
704,23766,977,977,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,44.0,5,5,10.0,hamilton,Lewis,Hamilton,07-01-1985,British,mercedes,Mercedes,German,4,68,Finished,,Montreal,Canada,45.5,-73.5228
752,23767,977,977,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,7.0,6,6,8.0,raikkonen,Kimi,Räikkönen,17-10-1979,Finnish,ferrari,Ferrari,Italian,5,68,Finished,,Montreal,Canada,45.5,-73.5228
783,23768,977,828,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,27.0,7,7,6.0,hulkenberg,Nico,Hülkenberg,19-08-1987,German,renault,Renault,French,7,67,+1 Lap,,Montreal,Canada,45.5,-73.5228
837,23769,977,978,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,55.0,8,8,4.0,sainz,Carlos,Sainz,01-09-1994,Spanish,renault,Renault,French,9,67,+1 Lap,,Montreal,Canada,45.5,-73.5228
870,23770,977,986,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,31.0,9,9,2.0,ocon,Esteban,Ocon,17-09-1996,French,force_india,Force India,Indian,8,67,+1 Lap,,Montreal,Canada,45.5,-73.5228
904,23771,977,978,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,16.0,10,10,1.0,leclerc,Charles,Leclerc,16-10-1997,Monegasque,sauber,Sauber,Swiss,13,67,+1 Lap,,Montreal,Canada,45.5,-73.5228
937,23772,977,979,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,10.0,11,11,0.0,gasly,Pierre,Gasly,07-02-1996,French,toro_rosso,Toro Rosso,Italian,16,67,+1 Lap,,Montreal,Canada,45.5,-73.5228
972,23773,977,977,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,8.0,12,12,0.0,grosjean,Romain,Grosjean,17-04-1986,French,haas,Haas F1 Team,American,20,67,+1 Lap,,Montreal,Canada,45.5,-73.5228
1021,23774,977,977,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,20.0,13,13,0.0,kevin_magnussen,Kevin,Magnussen,05-10-1992,Danish,haas,Haas F1 Team,American,11,67,+1 Lap,,Montreal,Canada,45.5,-73.5228
1068,23775,977,982,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,11.0,14,14,0.0,perez,Sergio,Pérez,26-01-1990,Mexican,force_india,Force India,Indian,10,67,+1 Lap,,Montreal,Canada,45.5,-73.5228
1093,23776,977,982,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,9.0,15,15,0.0,ericsson,Marcus,Ericsson,02-09-1990,Swedish,sauber,Sauber,Swiss,19,66,+2 Laps,,Montreal,Canada,45.5,-73.5228
1154,23777,977,986,2018,7,Canadian Grand Prix,10-06-2018,villeneuve,Circuit Gilles Villeneuve,2.0,16,16,0.0,vandoorne,Stoffel,Vandoorne,26-03-1992,Belgian,mclaren,McLaren,British,15,66,+2 Laps,,Montreal,Canada,45.5,-73.5228
