Id,season,round,raceName,date,circuitId_x,circuitName,number,position,positionText,points,driverRef,givenName,familyName,dateOfBirth,nationality,constructorRef,name_x,nationality.1,results.grid,results.laps,results.status,location,country,lat,lng,wins
2977,1965,1,South African Grand Prix,01-01-1965,george,Prince George Circuit,1.0,2.0,2,6.0,surtees,John,Surtees,11-02-1934,British,ferrari,Ferrari,Italian,2,85,Finished,Eastern Cape Province,South Africa,-33.0486,27.8736,0
5410,1965,1,South African Grand Prix,01-01-1965,george,Prince George Circuit,3.0,3.0,3,4.0,hill,Graham,Hill,15-02-1929,British,brm,BRM,British,5,85,Finished,Eastern Cape Province,South Africa,-33.0486,27.8736,0
5546,1965,1,South African Grand Prix,01-01-1965,george,Prince George Circuit,6.0,4.0,4,3.0,spence,Mike,Spence,30-12-1936,British,lotus-climax,Lotus-Climax,British,4,85,Finished,Eastern Cape Province,South Africa,-33.0486,27.8736,1
5547,1965,1,South African Grand Prix,01-01-1965,george,Prince George Circuit,5.0,1.0,1,9.0,clark,Jim,Clark,04-03-1936,British,lotus-climax,Lotus-Climax,British,1,85,Finished,Eastern Cape Province,South Africa,-33.0486,27.8736,1
10356,1965,1,South African Grand Prix,01-01-1965,george,Prince George Circuit,9.0,5.0,5,2.0,mclaren,Bruce,McLaren,30-08-1937,New Zealander,cooper-climax,Cooper-Climax,British,8,84,+1 Lap,Eastern Cape Province,South Africa,-33.0486,27.8736,0
14256,1965,1,South African Grand Prix,01-01-1965,george,Prince George Circuit,4.0,6.0,6,1.0,stewart,Jackie,Stewart,11-06-1939,British,brm,BRM,British,11,83,+2 Laps,Eastern Cape Province,South Africa,-33.0486,27.8736,0
14325,1965,1,South African Grand Prix,01-01-1965,george,Prince George Circuit,12.0,7.0,7,0.0,siffert,Jo,Siffert,07-07-1936,Swiss,brabham-brm,Brabham-BRM,British,14,83,+2 Laps,Eastern Cape Province,South Africa,-33.0486,27.8736,0
15969,1965,1,South African Grand Prix,01-01-1965,george,Prince George Circuit,2.0,15.0,15,0.0,bandini,Lorenzo,Bandini,21-12-1935,Italian,ferrari,Ferrari,Italian,6,66,Ignition,Eastern Cape Province,South Africa,-33.0486,27.8736,0
16037,1965,1,South African Grand Prix,01-01-1965,george,Prince George Circuit,8.0,,R,0.0,gurney,Dan,Gurney,13-04-1931,American,brabham-climax,Brabham-Climax,British,9,11,Ignition,Eastern Cape Province,South Africa,-33.0486,27.8736,0
16448,1965,1,South African Grand Prix,01-01-1965,george,Prince George Circuit,17.0,,R,0.0,love,John,Love,07-12-1924,Rhodesian,cooper-climax,Cooper-Climax,British,18,20,Halfshaft,Eastern Cape Province,South Africa,-33.0486,27.8736,0
