ID,Race number,Race number next,season,round,raceName,date,circuitId_x,circuitName,number,position,positionText,points,driverId,givenName,familyName,dateOfBirth,nationality,constructorId,name_x,nationality.1,results.grid,results.laps,results.status,Circ Count,location,country,lat,lng
6554,1066,43,66,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,44.0,1,1,8.0,trintignant,Maurice,Trintignant,30-10-2017,French,ferrari,Ferrari,Italian,9,100,Finished,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
6579,1067,43,53,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,30.0,2,2,6.0,castellotti,Eugenio,Castellotti,10-10-1930,Italian,lancia,Lancia,Italian,4,100,Finished,,Monte-Carlo,Monaco,43.7347,7.42056
6638,1068,43,50,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,34.0,3,3,2.0,behra,Jean,Behra,16-02-2021,French,maserati,Maserati,Italian,5,99,+1 Lap,,Monte-Carlo,Monaco,43.7347,7.42056
6674,1069,43,52,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,34.0,3,3,2.0,perdisa,Cesare,Perdisa,21-10-1932,Italian,maserati,Maserati,Italian,5,99,+1 Lap,,Monte-Carlo,Monaco,43.7347,7.42056
6711,1070,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,42.0,4,4,3.0,farina,Nino,Farina,30-10-2006,Italian,ferrari,Ferrari,Italian,14,99,+1 Lap,,Monte-Carlo,Monaco,43.7347,7.42056
6822,1071,43,52,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,28.0,5,5,2.0,villoresi,Luigi,Villoresi,16-05-2009,Italian,lancia,Lancia,Italian,7,99,+1 Lap,,Monte-Carlo,Monaco,43.7347,7.42056
6841,1072,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,32.0,6,6,0.0,chiron,Louis,Chiron,1899-08-03,Monegasque,lancia,Lancia,Italian,19,95,+5 Laps,,Monte-Carlo,Monaco,43.7347,7.42056
6937,1073,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,10.0,7,7,0.0,pollet,Jacques,Pollet,02-07-2022,French,gordini,Gordini,French,20,91,+9 Laps,,Monte-Carlo,Monaco,43.7347,7.42056
6977,1075,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,48.0,8,8,0.0,frere,Paul,Fr̬re,30-01-2017,Belgian,ferrari,Ferrari,Italian,15,86,+14 Laps,,Monte-Carlo,Monaco,43.7347,7.42056
7015,1074,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,48.0,8,8,0.0,taruffi,Piero,Taruffi,12-10-2006,Italian,ferrari,Ferrari,Italian,15,86,+14 Laps,,Monte-Carlo,Monaco,43.7347,7.42056
7069,1076,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,16.0,9,9,0.0,moss,Stirling,Moss,17-09-2029,British,mercedes,Mercedes,German,3,81,+19 Laps,,Monte-Carlo,Monaco,43.7347,7.42056
7096,1077,43,61,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,40.0,10,R,0.0,behra,Jean,Behra,16-02-2021,French,maserati,Maserati,Italian,11,86,Spun off,,Monte-Carlo,Monaco,43.7347,7.42056
7135,1078,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,40.0,10,R,0.0,perdisa,Cesare,Perdisa,21-10-1932,Italian,maserati,Maserati,Italian,11,86,Spun off,,Monte-Carlo,Monaco,43.7347,7.42056
7160,1079,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,26.0,11,R,0.0,ascari,Alberto,Ascari,13-07-2018,Italian,lancia,Lancia,Italian,2,80,Accident,,Monte-Carlo,Monaco,43.7347,7.42056
7274,1080,43,58,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,46.0,12,R,0.0,schell,Harry,Schell,29-06-2021,American,ferrari,Ferrari,Italian,18,68,Engine,,Monte-Carlo,Monaco,43.7347,7.42056
7320,1081,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,36.0,13,R,0.0,mieres,Roberto,Mieres,03-12-2024,Argentine,maserati,Maserati,Italian,6,64,Transmission,,Monte-Carlo,Monaco,43.7347,7.42056
7353,1082,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,12.0,14,R,0.0,bayol,��lie,Bayol,28-02-2014,French,gordini,Gordini,French,16,63,Transmission,,Monte-Carlo,Monaco,43.7347,7.42056
7426,1083,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,2.0,15,R,1.0,fangio,Juan,Fangio,24-06-2011,Argentine,mercedes,Mercedes,German,1,49,Transmission,,Monte-Carlo,Monaco,43.7347,7.42056
7514,1084,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,8.0,16,R,0.0,manzon,Robert,Manzon,12-04-2017,French,gordini,Gordini,French,13,38,Gearbox,,Monte-Carlo,Monaco,43.7347,7.42056
7600,1085,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,4.0,17,R,0.0,simon,Andr̩,Simon,05-01-2020,French,mercedes,Mercedes,German,10,24,Engine,,Monte-Carlo,Monaco,43.7347,7.42056
7627,1086,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,18.0,18,R,0.0,hawthorn,Mike,Hawthorn,10-04-2029,British,vanwall,Vanwall,British,12,22,Throttle,,Monte-Carlo,Monaco,43.7347,7.42056
7721,1087,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,14.0,19,R,0.0,rosier,Louis,Rosier,05-11-2005,French,maserati,Maserati,Italian,17,8,Fuel leak,,Monte-Carlo,Monaco,43.7347,7.42056
7769,1088,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,38.0,20,R,0.0,musso,Luigi,Musso,28-07-2024,Italian,maserati,Maserati,Italian,8,7,Transmission,,Monte-Carlo,Monaco,43.7347,7.42056
7811,1089,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,22.0,21,F,0.0,macklin,Lance,Macklin,02-09-2019,British,maserati,Maserati,Italian,0,0,Did not qualify,,Monte-Carlo,Monaco,43.7347,7.42056
7884,1090,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,24.0,22,F,0.0,whiteaway,Ted,Whiteaway,01-11-2028,British,hwm,HWM,British,0,0,Did not qualify,,Monte-Carlo,Monaco,43.7347,7.42056
7896,1091,43,43,1955,2,Monaco Grand Prix,22-05-1955,monaco,Circuit de Monaco,4.0,23,F,0.0,herrmann,Hans,Herrmann,23-02-2028,German,mercedes,Mercedes,German,0,0,Did not qualify,,Monte-Carlo,Monaco,43.7347,7.42056
10057,1188,48,49,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,18.0,1,1,8.0,fangio,Juan,Fangio,24-06-2011,Argentine,mercedes,Mercedes,German,1,50,Finished,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
10174,1189,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,14.0,2,2,6.0,taruffi,Piero,Taruffi,12-10-2006,Italian,mercedes,Mercedes,German,9,50,Finished,,Monza,Italy,45.6156,9.28111
10192,1190,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,4.0,3,3,4.0,castellotti,Eugenio,Castellotti,10-10-1930,Italian,ferrari,Ferrari,Italian,4,50,Finished,,Monza,Italy,45.6156,9.28111
10251,1191,48,73,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,36.0,4,4,3.0,behra,Jean,Behra,16-02-2021,French,maserati,Maserati,Italian,6,50,Finished,,Monza,Italy,45.6156,9.28111
10351,1192,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,34.0,5,5,2.0,menditeguy,Carlos,Menditeguy,10-08-2014,Argentine,maserati,Maserati,Italian,16,49,+1 Lap,,Monza,Italy,45.6156,9.28111
10418,1193,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,12.0,6,6,0.0,maglioli,Umberto,Maglioli,05-06-2028,Italian,ferrari,Ferrari,Italian,12,49,+1 Lap,,Monza,Italy,45.6156,9.28111
10487,1194,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,28.0,7,7,0.0,mieres,Roberto,Mieres,03-12-2024,Argentine,maserati,Maserati,Italian,7,48,+2 Laps,,Monza,Italy,45.6156,9.28111
10581,1195,48,71,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,8.0,8,8,0.0,trintignant,Maurice,Trintignant,30-10-2017,French,ferrari,Ferrari,Italian,15,47,+3 Laps,,Monza,Italy,45.6156,9.28111
10598,1196,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,40.0,9,9,0.0,fitch,John,Fitch,04-08-2017,American,maserati,Maserati,Italian,20,46,+4 Laps,,Monza,Italy,45.6156,9.28111
10682,1197,48,53,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,6.0,10,10,0.0,hawthorn,Mike,Hawthorn,10-04-2029,British,ferrari,Ferrari,Italian,14,38,Gearbox,,Monza,Italy,45.6156,9.28111
10747,1198,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,20.0,11,R,0.0,kling,Karl,Kling,16-09-2010,German,mercedes,Mercedes,German,3,32,Gearbox,,Monza,Italy,45.6156,9.28111
10831,1199,48,55,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,30.0,12,R,0.0,musso,Luigi,Musso,28-07-2024,Italian,maserati,Maserati,Italian,10,31,Gearbox,,Monza,Italy,45.6156,9.28111
10879,1200,48,58,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,38.0,13,R,0.0,gould,Horace,Gould,20-09-2018,British,maserati,Maserati,Italian,21,31,Suspension,,Monza,Italy,45.6156,9.28111
10967,1201,48,71,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,16.0,14,R,1.0,moss,Stirling,Moss,17-09-2029,British,mercedes,Mercedes,German,2,27,Engine,,Monza,Italy,45.6156,9.28111
11040,1202,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,26.0,15,R,0.0,pollet,Jacques,Pollet,02-07-2022,French,gordini,Gordini,French,19,26,Engine,,Monza,Italy,45.6156,9.28111
11066,1203,48,54,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,22.0,16,R,0.0,ramos,Hernando,da Silva Ramos,07-12-2025,Brazilian,gordini,Gordini,French,18,23,Fuel system,,Monza,Italy,45.6156,9.28111
11140,1204,48,54,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,32.0,17,R,0.0,collins,Peter,Collins,06-11-1931,British,maserati,Maserati,Italian,11,22,Suspension,,Monza,Italy,45.6156,9.28111
11246,1205,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,42.0,18,R,0.0,schell,Harry,Schell,29-06-2021,American,vanwall,Vanwall,British,13,7,Suspension,,Monza,Italy,45.6156,9.28111
11289,1206,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,24.0,19,R,0.0,lucas,Jean,Lucas,25-04-2017,French,gordini,Gordini,French,22,7,Engine,,Monza,Italy,45.6156,9.28111
11380,1207,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,44.0,20,R,0.0,wharton,Ken,Wharton,21-03-2016,British,vanwall,Vanwall,British,17,0,Injection,,Monza,Italy,45.6156,9.28111
11397,1208,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,2.0,21,W,0.0,farina,Nino,Farina,30-10-2006,Italian,ferrari,Ferrari,Italian,5,0,Withdrew,,Monza,Italy,45.6156,9.28111
11482,1209,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,10.0,22,W,0.0,villoresi,Luigi,Villoresi,16-05-2009,Italian,ferrari,Ferrari,Italian,8,0,Withdrew,,Monza,Italy,45.6156,9.28111
11514,1210,48,48,1955,7,Italian Grand Prix,11-09-1955,monza,Autodromo Nazionale di Monza,46.0,23,W,0.0,piotti,Luigi,Piotti,27-10-2013,Italian,arzani-volpini,Arzani-Volpini,Italian,0,0,Withdrew,,Monza,Italy,45.6156,9.28111
13830,1144,46,48,1955,5,Dutch Grand Prix,19-06-1955,zandvoort,Circuit Park Zandvoort,8.0,1,1,8.0,fangio,Juan,Fangio,24-06-2011,Argentine,mercedes,Mercedes,German,1,100,Finished,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
13863,1145,46,55,1955,5,Dutch Grand Prix,19-06-1955,zandvoort,Circuit Park Zandvoort,10.0,2,2,6.0,moss,Stirling,Moss,17-09-2029,British,mercedes,Mercedes,German,2,100,Finished,,Zandvoort,Netherlands,52.3888,4.54092
13900,1146,46,46,1955,5,Dutch Grand Prix,19-06-1955,zandvoort,Circuit Park Zandvoort,18.0,3,3,4.0,musso,Luigi,Musso,28-07-2024,Italian,maserati,Maserati,Italian,4,100,Finished,,Zandvoort,Netherlands,52.3888,4.54092
