ID,Race number,Race number next,season,round,raceName,date,circuitId_x,circuitName,number,position,positionText,points,driverId,givenName,familyName,dateOfBirth,nationality,constructorId,name_x,nationality.1,results.grid,results.laps,results.status,Circ Count,location,country,lat,lng
8077,911,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,9.0,1,1,8.14,gonzalez,JosÃ© FroilÃ¡n,Gonzalez,05-10-2022,Argentine,ferrari,Ferrari,Italian,2,90,Finished,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
8136,912,37,38,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,11.0,2,2,6.14,hawthorn,Mike,Hawthorn,10-04-2029,British,ferrari,Ferrari,Italian,3,90,Finished,,Silverstone,UK,52.0786,-1.01694
8188,913,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,33.0,3,3,4.14,marimon,Onofre,MarimÃ_n,19-12-2023,Argentine,maserati,Maserati,Italian,28,89,+1 Lap,,Silverstone,UK,52.0786,-1.01694
8231,914,37,50,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,1.0,4,4,3.14,fangio,Juan,Fangio,24-06-2011,Argentine,mercedes,Mercedes,German,1,89,+1 Lap,,Silverstone,UK,52.0786,-1.01694
8318,915,37,40,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,10.0,5,5,2.0,trintignant,Maurice,Trintignant,30-10-2017,French,ferrari,Ferrari,Italian,8,87,+3 Laps,,Silverstone,UK,52.0786,-1.01694
8355,916,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,4.0,6,6,0.0,mieres,Roberto,Mieres,03-12-2024,Argentine,maserati,Maserati,Italian,32,87,+3 Laps,,Silverstone,UK,52.0786,-1.01694
8405,917,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,2.0,7,7,0.0,kling,Karl,Kling,16-09-2010,German,mercedes,Mercedes,German,6,87,+3 Laps,,Silverstone,UK,52.0786,-1.01694
8477,918,37,41,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,8.0,8,8,0.0,wharton,Ken,Wharton,21-03-2016,British,maserati,Maserati,Italian,9,86,+4 Laps,,Silverstone,UK,52.0786,-1.01694
8509,919,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,19.0,9,9,0.0,andre_pilette,AndrÃ©,Pilette,06-10-2018,Belgian,gordini,Gordini,French,12,86,+4 Laps,,Silverstone,UK,52.0786,-1.01694
8549,920,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,29.0,10,10,0.0,gerard,Bob,Gerard,19-01-2014,British,cooper,Cooper,British,18,85,+5 Laps,,Silverstone,UK,52.0786,-1.01694
8588,921,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,25.0,11,11,0.0,beauman,Don,Beauman,26-07-2028,British,connaught,Connaught,British,17,84,+6 Laps,,Silverstone,UK,52.0786,-1.01694
8682,922,37,39,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,3.0,12,12,0.0,schell,Harry,Schell,29-06-2021,American,maserati,Maserati,Italian,16,83,+7 Laps,,Silverstone,UK,52.0786,-1.01694
8721,923,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,23.0,13,13,0.0,marr,Leslie,Marr,14-08-2022,British,connaught,Connaught,British,22,82,+8 Laps,,Silverstone,UK,52.0786,-1.01694
8784,924,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,26.0,14,14,0.0,thorne,Leslie,Thorne,23-06-2016,British,connaught,Connaught,British,23,78,+12 Laps,,Silverstone,UK,52.0786,-1.01694
8812,925,37,63,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,28.0,15,15,0.0,gould,Horace,Gould,20-09-2018,British,cooper,Cooper,British,20,44,+46 Laps,,Silverstone,UK,52.0786,-1.01694
8879,926,37,41,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,7.0,16,R,0.0,moss,Stirling,Moss,17-09-2029,British,maserati,Maserati,Italian,4,80,Axle,,Silverstone,UK,52.0786,-1.01694
8944,927,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,22.0,17,R,0.0,whitehouse,Bill,Whitehouse,01-04-2009,British,connaught,Connaught,British,19,63,Fuel system,,Silverstone,UK,52.0786,-1.01694
8955,928,37,72,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,17.0,18,R,0.0,behra,Jean,Behra,16-02-2021,French,gordini,Gordini,French,5,54,Suspension,,Silverstone,UK,52.0786,-1.01694
9042,929,37,110,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,5.0,19,R,0.0,salvadori,Roy,Salvadori,12-05-2022,British,maserati,Maserati,Italian,7,53,Transmission,,Silverstone,UK,52.0786,-1.01694
9058,930,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,6.0,20,R,0.0,bira,Prince,Bira,15-07-2014,Thai,maserati,Maserati,Italian,10,44,Accident,,Silverstone,UK,52.0786,-1.01694
9072,931,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,6.0,20,R,0.0,flockhart,Ron,Flockhart,16-06-2023,British,maserati,Maserati,Italian,10,44,Accident,,Silverstone,UK,52.0786,-1.01694
9105,932,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,32.0,21,R,0.0,ascari,Alberto,Ascari,13-07-2018,Italian,maserati,Maserati,Italian,27,40,Engine,,Silverstone,UK,52.0786,-1.01694
9142,933,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,32.0,21,R,0.0,villoresi,Luigi,Villoresi,16-05-2009,Italian,maserati,Maserati,Italian,27,40,Engine,,Silverstone,UK,52.0786,-1.01694
9172,934,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,24.0,22,R,0.0,riseley_prichard,John,Riseley-Prichard,17-01-2024,British,connaught,Connaught,British,21,40,Accident,,Silverstone,UK,52.0786,-1.01694
9205,935,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,12.0,23,R,0.0,reg_parnell,Reg,Parnell,02-07-2011,British,ferrari,Ferrari,Italian,14,25,Engine,,Silverstone,UK,52.0786,-1.01694
9212,936,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,31.0,24,R,0.0,ascari,Alberto,Ascari,13-07-2018,Italian,maserati,Maserati,Italian,30,21,Engine,,Silverstone,UK,52.0786,-1.01694
9239,937,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,18.0,25,R,0.0,bucci,Clemar,Bucci,04-09-2020,Argentine,gordini,Gordini,French,13,18,Accident,,Silverstone,UK,52.0786,-1.01694
9259,938,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,20.0,26,R,0.0,collins,Peter,Collins,06-11-1931,British,vanwall,Vanwall,British,11,16,Engine,,Silverstone,UK,52.0786,-1.01694
9287,939,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,14.0,27,R,0.0,manzon,Robert,Manzon,12-04-2017,French,ferrari,Ferrari,Italian,15,16,Engine,,Silverstone,UK,52.0786,-1.01694
9305,940,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,21.0,28,R,0.0,whitehead,Peter,Whitehead,12-11-2014,British,cooper,Cooper,British,24,4,Oil leak,,Silverstone,UK,52.0786,-1.01694
9308,941,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,30.0,29,R,0.0,brandon,Eric,Brandon,18-07-2020,British,cooper,Cooper,British,25,2,Engine,,Silverstone,UK,52.0786,-1.01694
9322,942,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,15.0,30,R,0.0,rosier,Louis,Rosier,05-11-2005,French,ferrari,Ferrari,Italian,31,2,Engine,,Silverstone,UK,52.0786,-1.01694
9326,943,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,27.0,31,W,0.0,alan_brown,Alan,Brown,20-11-2019,British,cooper,Cooper,British,26,0,Withdrew,,Silverstone,UK,52.0786,-1.01694
9339,944,37,37,1954,5,British Grand Prix,17-07-1954,silverstone,Silverstone Circuit,30.0,32,W,0.0,nuckey,Rodney,Nuckey,26-06-2029,British,cooper,Cooper,British,29,0,Withdrew,,Silverstone,UK,52.0786,-1.01694
