Id,season,round,raceName,date,circuitId_x,circuitName,number,position,positionText,points,driverRef,givenName,familyName,dateOfBirth,nationality,constructorRef,name_x,nationality.1,results.grid,results.laps,results.status,location,country,lat,lng,wins
115,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,22.0,4.0,4,3.0,villeneuve,Jacques,Villeneuve,09-04-1971,Canadian,bar,BAR,British,8,58,Finished,Melbourne,Australia,-37.8497,144.968,0
116,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,23.0,6.0,6,1.0,zonta,Ricardo,Zonta,23-03-1976,Brazilian,bar,BAR,British,16,58,Finished,Melbourne,Australia,-37.8497,144.968,0
406,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,11.0,5.0,5,2.0,fisichella,Giancarlo,Fisichella,14-01-1973,Italian,benetton,Benetton,Italian,9,58,Finished,Melbourne,Australia,-37.8497,144.968,0
407,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,12.0,7.0,7,0.0,wurz,Alexander,Wurz,15-02-1974,Austrian,benetton,Benetton,Italian,14,58,Finished,Melbourne,Australia,-37.8497,144.968,0
589,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,9.0,3.0,3,4.0,ralf_schumacher,Ralf,Schumacher,30-06-1975,German,williams,Williams,British,11,58,Finished,Melbourne,Australia,-37.8497,144.968,0
2047,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,4.0,2.0,2,6.0,barrichello,Rubens,Barrichello,23-05-1972,Brazilian,ferrari,Ferrari,Italian,4,58,Finished,Melbourne,Australia,-37.8497,144.968,1
2048,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,3.0,1.0,1,10.0,michael_schumacher,Michael,Schumacher,03-01-1969,German,ferrari,Ferrari,Italian,3,58,Finished,Melbourne,Australia,-37.8497,144.968,1
5939,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,21.0,,R,0.0,mazzacane,GastÌ_n,Mazzacane,08-05-1975,Argentine,minardi,Minardi,Italian,22,40,Gearbox,Melbourne,Australia,-37.8497,144.968,0
8335,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,20.0,8.0,8,0.0,gene,Marc,GenÌ©,29-03-1974,Spanish,minardi,Minardi,Italian,18,57,+1 Lap,Melbourne,Australia,-37.8497,144.968,0
11354,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,10.0,,R,0.0,button,Jenson,Button,19-01-1980,British,williams,Williams,British,21,46,Engine,Melbourne,Australia,-37.8497,144.968,0
13238,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,15.0,9.0,9,0.0,heidfeld,Nick,Heidfeld,10-05-1977,German,prost,Prost,French,15,56,+2 Laps,Melbourne,Australia,-37.8497,144.968,0
14554,2000,1,Australian Grand Prix,12-03-2000,albert_park,Albert Park Grand Prix Circuit,14.0,,R,0.0,alesi,Jean,Alesi,11-06-1964,French,prost,Prost,French,17,27,Hydraulics,Melbourne,Australia,-37.8497,144.968,0
423,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,11.0,2.0,2,6.0,fisichella,Giancarlo,Fisichella,14-01-1973,Italian,benetton,Benetton,Italian,5,71,Finished,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
2145,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,3.0,1.0,1,10.0,michael_schumacher,Michael,Schumacher,03-01-1969,German,ferrari,Ferrari,Italian,3,71,Finished,SÌ£o Paulo,Brazil,-23.7036,-46.6997,2
3086,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,6.0,4.0,4,3.0,trulli,Jarno,Trulli,13-07-1974,Italian,jordan,Jordan,Irish,12,71,Finished,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
3087,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,5.0,3.0,3,4.0,frentzen,Heinz-Harald,Frentzen,18-05-1967,German,jordan,Jordan,Irish,7,71,Finished,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
5739,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,22.0,,R,0.0,villeneuve,Jacques,Villeneuve,09-04-1971,Canadian,bar,BAR,British,10,16,Gearbox,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
7508,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,10.0,6.0,6,1.0,button,Jenson,Button,19-01-1980,British,williams,Williams,British,9,70,+1 Lap,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
7509,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,9.0,5.0,5,2.0,ralf_schumacher,Ralf,Schumacher,30-06-1975,German,williams,Williams,British,11,70,+1 Lap,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
9376,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,19.0,7.0,7,0.0,verstappen,Jos,Verstappen,04-03-1972,Dutch,arrows,Arrows,British,14,70,+1 Lap,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
9377,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,18.0,8.0,8,0.0,rosa,Pedro,de la Rosa,24-02-1971,Spanish,arrows,Arrows,British,16,70,+1 Lap,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
11323,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,12.0,,R,0.0,wurz,Alexander,Wurz,15-02-1974,Austrian,benetton,Benetton,Italian,13,6,Engine,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
11745,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,15.0,,R,0.0,heidfeld,Nick,Heidfeld,10-05-1977,German,prost,Prost,French,19,9,Engine,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
11769,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,20.0,,R,0.0,gene,Marc,GenÌ©,29-03-1974,Spanish,minardi,Minardi,Italian,18,31,Engine,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
13000,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,23.0,9.0,9,0.0,zonta,Ricardo,Zonta,23-03-1976,Brazilian,bar,BAR,British,8,69,+2 Laps,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
13294,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,21.0,10.0,10,0.0,mazzacane,GastÌ_n,Mazzacane,08-05-1975,Argentine,minardi,Minardi,Italian,20,69,+2 Laps,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
14532,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,4.0,,R,0.0,barrichello,Rubens,Barrichello,23-05-1972,Brazilian,ferrari,Ferrari,Italian,4,27,Hydraulics,SÌ£o Paulo,Brazil,-23.7036,-46.6997,2
17316,2000,2,Brazilian Grand Prix,26-03-2000,interlagos,AutÌ_dromo JosÌ© Carlos Pace,14.0,,R,0.0,alesi,Jean,Alesi,11-06-1964,French,prost,Prost,French,15,11,Electrical,SÌ£o Paulo,Brazil,-23.7036,-46.6997,0
1691,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,2.0,3.0,3,4.0,coulthard,David,Coulthard,27-03-1971,British,mclaren,McLaren,British,3,62,Finished,Imola,Italy,44.3439,11.7167,0
1692,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,1.0,2.0,2,6.0,hakkinen,Mika,HÌ_kkinen,28-09-1968,Finnish,mclaren,McLaren,British,1,62,Finished,Imola,Italy,44.3439,11.7167,0
2190,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,4.0,4.0,4,3.0,barrichello,Rubens,Barrichello,23-05-1972,Brazilian,ferrari,Ferrari,Italian,4,62,Finished,Imola,Italy,44.3439,11.7167,3
2191,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,3.0,1.0,1,10.0,michael_schumacher,Michael,Schumacher,03-01-1969,German,ferrari,Ferrari,Italian,2,62,Finished,Imola,Italy,44.3439,11.7167,3
5895,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,6.0,15.0,15,0.0,trulli,Jarno,Trulli,13-07-1974,Italian,jordan,Jordan,Irish,8,58,Gearbox,Imola,Italy,44.3439,11.7167,0
5896,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,5.0,,R,0.0,frentzen,Heinz-Harald,Frentzen,18-05-1967,German,jordan,Jordan,Irish,6,4,Gearbox,Imola,Italy,44.3439,11.7167,0
7282,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,22.0,5.0,5,2.0,villeneuve,Jacques,Villeneuve,09-04-1971,Canadian,bar,BAR,British,9,61,+1 Lap,Imola,Italy,44.3439,11.7167,0
7283,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,23.0,12.0,12,0.0,zonta,Ricardo,Zonta,23-03-1976,Brazilian,bar,BAR,British,14,61,+1 Lap,Imola,Italy,44.3439,11.7167,0
7448,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,11.0,11.0,11,0.0,fisichella,Giancarlo,Fisichella,14-01-1973,Italian,benetton,Benetton,Italian,19,61,+1 Lap,Imola,Italy,44.3439,11.7167,0
7449,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,12.0,9.0,9,0.0,wurz,Alexander,Wurz,15-02-1974,Austrian,benetton,Benetton,Italian,11,61,+1 Lap,Imola,Italy,44.3439,11.7167,0
8877,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,17.0,6.0,6,1.0,salo,Mika,Salo,30-11-1966,Finnish,sauber,Sauber,Swiss,12,61,+1 Lap,Imola,Italy,44.3439,11.7167,0
8878,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,16.0,8.0,8,0.0,diniz,Pedro,Diniz,22-05-1970,Brazilian,sauber,Sauber,Swiss,10,61,+1 Lap,Imola,Italy,44.3439,11.7167,0
9138,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,7.0,7.0,7,0.0,irvine,Eddie,Irvine,10-11-1965,British,jaguar,Jaguar,British,7,61,+1 Lap,Imola,Italy,44.3439,11.7167,0
9139,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,8.0,10.0,10,0.0,herbert,Johnny,Herbert,25-06-1964,British,jaguar,Jaguar,British,17,61,+1 Lap,Imola,Italy,44.3439,11.7167,0
10691,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,20.0,,R,0.0,gene,Marc,GenÌ©,29-03-1974,Spanish,minardi,Minardi,Italian,21,5,Spun off,Imola,Italy,44.3439,11.7167,0
10829,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,18.0,,R,0.0,rosa,Pedro,de la Rosa,24-02-1971,Spanish,arrows,Arrows,British,13,49,Spun off,Imola,Italy,44.3439,11.7167,0
11361,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,10.0,,R,0.0,button,Jenson,Button,19-01-1980,British,williams,Williams,British,18,5,Engine,Imola,Italy,44.3439,11.7167,0
13296,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,21.0,13.0,13,0.0,mazzacane,GastÌ_n,Mazzacane,08-05-1975,Argentine,minardi,Minardi,Italian,20,60,+2 Laps,Imola,Italy,44.3439,11.7167,0
14555,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,15.0,,R,0.0,heidfeld,Nick,Heidfeld,10-05-1977,German,prost,Prost,French,22,22,Hydraulics,Imola,Italy,44.3439,11.7167,0
14556,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,14.0,,R,0.0,alesi,Jean,Alesi,11-06-1964,French,prost,Prost,French,15,25,Hydraulics,Imola,Italy,44.3439,11.7167,0
18688,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,19.0,14.0,14,0.0,verstappen,Jos,Verstappen,04-03-1972,Dutch,arrows,Arrows,British,16,59,+3 Laps,Imola,Italy,44.3439,11.7167,0
19559,2000,3,San Marino Grand Prix,09-04-2000,imola,Autodromo Enzo e Dino Ferrari,9.0,,R,0.0,ralf_schumacher,Ralf,Schumacher,30-06-1975,German,williams,Williams,British,5,45,Fuel system,Imola,Italy,44.3439,11.7167,0
591,2000,4,British Grand Prix,23-04-2000,silverstone,Silverstone Circuit,10.0,5.0,5,2.0,button,Jenson,Button,19-01-1980,British,williams,Williams,British,6,60,Finished,Silverstone,UK,52.0786,-1.01694,0
592,2000,4,British Grand Prix,23-04-2000,silverstone,Silverstone Circuit,9.0,4.0,4,3.0,ralf_schumacher,Ralf,Schumacher,30-06-1975,German,williams,Williams,British,7,60,Finished,Silverstone,UK,52.0786,-1.01694,0
1616,2000,4,British Grand Prix,23-04-2000,silverstone,Silverstone Circuit,2.0,1.0,1,10.0,coulthard,David,Coulthard,27-03-1971,British,mclaren,McLaren,British,4,60,Finished,Silverstone,UK,52.0786,-1.01694,1
1617,2000,4,British Grand Prix,23-04-2000,silverstone,Silverstone Circuit,1.0,2.0,2,6.0,hakkinen,Mika,HÌ_kkinen,28-09-1968,Finnish,mclaren,McLaren,British,3,60,Finished,Silverstone,UK,52.0786,-1.01694,1
