Id,season,round,raceName,date,circuitId_x,circuitName,number,position,positionText,points,driverRef,givenName,familyName,dateOfBirth,nationality,constructorRef,name_x,nationality.1,results.grid,results.laps,results.status,location,country,lat,lng,wins
315,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,11.0,11.0,11,0.0,kubica,Robert,Kubica,07-12-1984,Polish,renault,Renault,French,9,49,Finished,Sakhir,Bahrain,26.0325,50.5106,0
605,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,9.0,10.0,10,1.0,barrichello,Rubens,Barrichello,23-05-1972,Brazilian,williams,Williams,British,11,49,Finished,Sakhir,Bahrain,26.0325,50.5106,0
1268,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,1.0,7.0,7,6.0,button,Jenson,Button,19-01-1980,British,mclaren,McLaren,British,8,49,Finished,Sakhir,Bahrain,26.0325,50.5106,0
1269,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,2.0,3.0,3,15.0,hamilton,Lewis,Hamilton,07-01-1985,British,mclaren,McLaren,British,4,49,Finished,Sakhir,Bahrain,26.0325,50.5106,0
2225,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,8.0,1.0,1,25.0,alonso,Fernando,Alonso,29-07-1981,Spanish,ferrari,Ferrari,Italian,3,49,Finished,Sakhir,Bahrain,26.0325,50.5106,1
2226,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,7.0,2.0,2,18.0,massa,Felipe,Massa,25-04-1981,Brazilian,ferrari,Ferrari,Italian,2,49,Finished,Sakhir,Bahrain,26.0325,50.5106,1
3321,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,4.0,5.0,5,10.0,rosberg,Nico,Rosberg,27-06-1985,German,mercedes,Mercedes,German,5,49,Finished,Sakhir,Bahrain,26.0325,50.5106,0
3322,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,3.0,6.0,6,8.0,michael_schumacher,Michael,Schumacher,03-01-1969,German,mercedes,Mercedes,German,7,49,Finished,Sakhir,Bahrain,26.0325,50.5106,0
3551,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,17.0,13.0,13,0.0,alguersuari,Jaime,Alguersuari,23-03-1990,Spanish,toro_rosso,Toro Rosso,Italian,18,49,Finished,Sakhir,Bahrain,26.0325,50.5106,0
3699,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,14.0,12.0,12,0.0,sutil,Adrian,Sutil,11-01-1983,German,force_india,Force India,Indian,10,49,Finished,Sakhir,Bahrain,26.0325,50.5106,0
3700,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,15.0,9.0,9,2.0,liuzzi,Vitantonio,Liuzzi,06-08-1980,Italian,force_india,Force India,Indian,12,49,Finished,Sakhir,Bahrain,26.0325,50.5106,0
4179,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,6.0,8.0,8,4.0,webber,Mark,Webber,27-08-1976,Australian,red_bull,Red Bull,Austrian,6,49,Finished,Sakhir,Bahrain,26.0325,50.5106,0
4180,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,5.0,4.0,4,12.0,vettel,Sebastian,Vettel,03-07-1987,German,red_bull,Red Bull,Austrian,1,49,Finished,Sakhir,Bahrain,26.0325,50.5106,0
5983,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,24.0,,R,0.0,glock,Timo,Glock,18-03-1982,German,virgin,Virgin,British,19,16,Gearbox,Sakhir,Bahrain,26.0325,50.5106,0
7516,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,10.0,14.0,14,0.0,hulkenberg,Nico,HÌ_lkenberg,19-08-1987,German,williams,Williams,British,13,48,+1 Lap,Sakhir,Bahrain,26.0325,50.5106,0
13365,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,19.0,15.0,15,0.0,kovalainen,Heikki,Kovalainen,19-10-1981,Finnish,lotus_racing,Lotus,Malaysian,21,47,+2 Laps,Sakhir,Bahrain,26.0325,50.5106,0
14565,2010,1,Bahrain Grand Prix,14-03-2010,bahrain,Bahrain International Circuit,18.0,17.0,17,0.0,trulli,Jarno,Trulli,13-07-1974,Italian,lotus_racing,Lotus,Malaysian,20,46,Hydraulics,Sakhir,Bahrain,26.0325,50.5106,0
